GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
guldenj,org.guldenj.params,Networks,3,60,1,5,1,18,2,7,1,5
guldenj,org.guldenj.params,RegTestParams,37,42,3,1,11,14,5,3,3,3
guldenj,org.guldenj.params,AbstractBitcoinNetParams,28,203,5,15,7,42,7,14,2,9
guldenj,org.guldenj.params,MainNetParams,0,1473,0,2,0,40,0,4,0,3
guldenj,org.guldenj.params,TestNet3Params,91,122,16,2,18,32,9,5,1,4
guldenj,org.guldenj.params,TestNet2Params,2,100,1,1,1,29,2,2,1,2
guldenj,org.guldenj.params,UnitTestParams,2,96,0,2,1,27,1,3,1,2
guldenj,org.guldenj.core.listeners,AbstractPeerDataEventListener,4,5,0,0,2,3,2,3,2,3
guldenj,org.guldenj.core.listeners,AbstractWalletEventListener,25,0,0,0,16,0,9,0,9,0
guldenj,org.guldenj.core.listeners,AbstractPeerEventListener,13,0,0,0,9,0,9,0,9,0
guldenj,org.guldenj.core.listeners,AbstractBlockChainListener,8,0,0,0,5,0,5,0,5,0
guldenj,org.guldenj.core.listeners,AbstractPeerConnectionEventListener,3,3,0,0,3,1,3,1,3,1
guldenj,org.guldenj.core.listeners,DownloadProgressTracker,168,0,20,0,40,0,19,0,9,0
guldenj,org.guldenj.signers,TransactionSigner.ProposedTransaction,0,11,0,0,0,4,0,1,0,1
guldenj,org.guldenj.signers,CustomTransactionSigner,27,94,3,5,8,22,3,5,0,4
guldenj,org.guldenj.signers,LocalTransactionSigner,9,124,0,8,4,31,0,8,0,4
guldenj,org.guldenj.signers,CustomTransactionSigner.SignatureAndKey,0,12,0,0,0,4,0,1,0,1
guldenj,org.guldenj.signers,StatelessTransactionSigner,4,3,0,0,2,1,2,1,2,1
guldenj,org.guldenj.signers,TransactionSigner.MissingSignatureException,0,3,0,0,0,1,0,1,0,1
guldenj,org.guldenj.signers,MissingSigResolutionSigner,8,141,2,24,3,32,4,14,2,3
guldenj,org.guldenj.protocols.payments,PaymentProtocolException,0,8,0,0,0,4,0,2,0,2
guldenj,org.guldenj.protocols.payments,PaymentProtocol,118,418,16,36,27,98,17,21,2,10
guldenj,org.guldenj.protocols.payments,PaymentSession,205,324,20,38,43,64,30,27,13,15
guldenj,org.guldenj.protocols.payments,PaymentProtocol.Ack,9,0,0,0,4,0,2,0,2,0
guldenj,org.guldenj.protocols.payments,PaymentProtocolException.InvalidPaymentURL,8,0,0,0,4,0,2,0,2,0
guldenj,org.guldenj.protocols.payments,PaymentProtocolException.InvalidPaymentRequestURL,8,0,0,0,4,0,2,0,2,0
guldenj,org.guldenj.protocols.payments,PaymentProtocolException.InvalidVersion,4,0,0,0,2,0,1,0,1,0
guldenj,org.guldenj.protocols.payments,PaymentProtocolException.PkiVerificationException,8,7,0,0,4,3,2,1,2,1
guldenj,org.guldenj.protocols.payments,PaymentProtocol.PkiVerificationData,26,19,0,0,8,7,1,1,1,1
guldenj,org.guldenj.protocols.payments,PaymentProtocolException.Expired,0,4,0,0,0,2,0,1,0,1
guldenj,org.guldenj.protocols.payments,PaymentProtocolException.InvalidPkiType,4,0,0,0,2,0,1,0,1,0
guldenj,org.guldenj.protocols.payments,PaymentProtocolException.InvalidPkiData,8,0,0,0,4,0,2,0,2,0
guldenj,org.guldenj.protocols.payments,PaymentSession.new Callable() {...},65,0,0,0,15,0,2,0,2,0
guldenj,org.guldenj.protocols.payments,PaymentSession.new Callable() {...},38,0,0,0,6,0,2,0,2,0
guldenj,org.guldenj.protocols.payments,PaymentProtocolException.InvalidOutputs,4,0,0,0,2,0,1,0,1,0
guldenj,org.guldenj.protocols.payments,PaymentProtocolException.InvalidNetwork,0,4,0,0,0,2,0,1,0,1
guldenj,org.guldenj.protocols.payments,PaymentProtocol.Output,0,9,0,0,0,4,0,1,0,1
guldenj,org.guldenj.uri,RequiredFieldValidationException,5,4,0,0,2,2,1,1,1,1
guldenj,org.guldenj.uri,GuldenURIParseException,0,9,0,0,0,4,0,2,0,2
guldenj,org.guldenj.uri,GuldenURI,41,557,4,58,8,113,4,42,0,15
guldenj,org.guldenj.uri,OptionalFieldValidationException,4,5,0,0,2,2,1,1,1,1
guldenj,org.guldenj.protocols.channels,PaymentChannelClientState,39,372,5,19,11,96,5,26,0,19
